image_id,filename,target_class,case_type,true_patch_area,current_auto_mask_iou,reference_auto_mask_iou,current_precision,reference_precision,current_recall,reference_recall,current_predicted_area,reference_predicted_area,area_ratio_current,area_ratio_reference,attacked_detected,current_auto_detected,current_auto_conf,current_auto_iou,reference_auto_detected,reference_auto_conf,reference_auto_iou,known_location_detected,known_location_conf,known_location_iou,known_expand4_detected,known_expand4_conf,known_expand4_iou
000000127263,000000127263.jpg,car,attack_success,400,0.017693715680292862,0.019511941308080545,0.01771283593309528,0.019537355423569866,0.9425,0.9375,21284,19194,53.21,47.985,False,True,0.3056640625,0.7511778760725841,False,,,False,,,False,,
000000393093,000000393093.jpg,car,attack_success,196,0.003885673082700743,0.004332539412498582,0.003885828743114672,0.004333030852994555,0.9897959183673469,0.9744897959183674,49925,44080,254.71938775510205,224.89795918367346,False,False,,,False,,,True,0.52734375,0.9289162039267929,True,0.552734375,0.9387639139841443
000000026926,000000026926.jpg,car,attack_success,484,0.023632644272179155,0.026951913133402276,0.023690032917813394,0.027069133398247323,0.9070247933884298,0.8615702479338843,18531,15405,38.28719008264463,31.828512396694215,False,False,,,False,,,False,,,True,0.293701171875,0.7452991549295772
000000407083,000000407083.jpg,car,attack_success,20736,0.15161071220648167,0.11183007071286209,0.2337497195003366,0.20493320658427977,0.3014081790123457,0.19753086419753085,26738,19987,1.2894483024691359,0.9638792438271605,False,False,,,False,,,False,,,True,0.3955078125,0.832135845644933
000000181499,000000181499.jpg,person,attack_success,1296,0.05692953803079795,0.09270317506554035,0.05713215322656177,0.09285870595958859,0.941358024691358,0.9822530864197531,21354,13709,16.47685185185185,10.577932098765432,False,False,,,True,0.342529296875,0.865528558189501,True,0.346435546875,0.9241836015270727,True,0.39111328125,0.9204338350056651
000000347370,000000347370.jpg,person,attack_success,784,0.024733421666982145,0.02615512927439533,0.024733421666982145,0.02615512927439533,1.0,1.0,31698,29975,40.43112244897959,38.233418367346935,False,False,,,False,,,False,,,False,,
000000385029,000000385029.jpg,person,attack_success,2601,0.07962217827184069,0.10219842906665497,0.08035099793530626,0.1034329617622241,0.8977316416762784,0.8954248366013072,29060,22517,11.172625913110343,8.657054978854287,False,False,,,False,,,False,,,True,0.34716796875,0.9932646721175984
000000542776,000000542776.jpg,person,attack_success,4489,0.409134007585335,0.43455210237659964,0.5846883468834688,0.7078618225134008,0.5767431499220317,0.5295165961238584,4428,3358,0.9864112274448652,0.7480507908220093,False,False,,,False,,,True,0.2841796875,0.9795329323565342,True,0.469482421875,0.9770688713988629
000000331604,000000331604.jpg,person,control,441,0.07016706443914081,0.08459620180318435,0.07016706443914081,0.08459620180318435,1.0,1.0,6285,5213,14.251700680272108,11.820861678004535,True,True,0.296142578125,0.8191206772773337,True,0.68310546875,0.8269536783501387,True,0.78076171875,0.850035641673613,True,0.67919921875,0.6647732736334736
000000357737,000000357737.jpg,car,control,1849,0.0215063151155346,0.02592767543169055,0.02162304507483212,0.02609522467953233,0.7993510005408329,0.8015143320713899,68353,56792,36.967550027041646,30.714981070849106,True,True,0.876953125,0.8827550266210988,True,0.92822265625,0.9456021651010432,True,0.87548828125,0.9313577027045018,True,0.87841796875,0.9060998371760876
