class_id,class_name,detections,percentage,avg_confidence,min_confidence,max_confidence
0,person,950,32.86060186786579,0.63301718,0.25056,0.95726
1,bicycle,22,0.7609823590453131,0.494728090909091,0.259898,0.923779
2,car,158,5.465236942234521,0.5730002088607594,0.252646,0.958043
3,motorcycle,56,1.937046004842615,0.5580183928571428,0.255439,0.913572
4,airplane,9,0.3113109650639917,0.9105432222222222,0.810281,0.950542
5,bus,30,1.0377032168799722,0.7076731333333334,0.251718,0.94378
6,train,10,0.3459010722933241,0.7957426,0.411218,0.921598
7,truck,20,0.6918021445866482,0.4887239,0.259025,0.84254
8,boat,23,0.7955724662746455,0.4178463913043478,0.252484,0.604619
9,traffic light,17,0.588031822898651,0.5735468235294118,0.269704,0.933694
10,fire hydrant,9,0.3113109650639917,0.8051648888888888,0.472343,0.933181
11,stop sign,4,0.13836042891732964,0.7509085,0.269202,0.958874
12,parking meter,10,0.3459010722933241,0.5925506,0.262459,0.954021
13,bench,17,0.588031822898651,0.5190526470588236,0.250477,0.861674
14,bird,29,1.0031131096506398,0.580187,0.263407,0.917248
15,cat,18,0.6226219301279834,0.7932787777777778,0.259786,0.922765
16,dog,13,0.44967139398132133,0.7063945384615384,0.274039,0.940861
17,horse,27,0.9339328951919751,0.7877125925925925,0.342374,0.939066
18,sheep,26,0.8993427879626427,0.682537076923077,0.271101,0.956275
19,cow,11,0.38049117952265654,0.5308698181818182,0.257128,0.931454
20,elephant,21,0.7263922518159807,0.7431822857142857,0.263416,0.943207
21,bear,5,0.17295053614666206,0.7208553999999999,0.318358,0.953931
22,zebra,32,1.106883431338637,0.76567678125,0.265425,0.944807
23,giraffe,9,0.3113109650639917,0.9132726666666667,0.857616,0.949061
24,backpack,20,0.6918021445866482,0.4357714,0.252683,0.735644
25,umbrella,20,0.6918021445866482,0.50138175,0.271322,0.887772
26,handbag,13,0.44967139398132133,0.4959119230769231,0.280177,0.929341
27,tie,28,0.9685230024213075,0.60301825,0.250655,0.900315
28,suitcase,24,0.8301625735039778,0.6321939583333334,0.257873,0.969826
29,frisbee,13,0.44967139398132133,0.8471767692307692,0.370843,0.993519
30,skis,19,0.6572120373573158,0.5414837894736843,0.279397,0.885833
31,snowboard,4,0.13836042891732964,0.5257695,0.259449,0.686737
32,sports ball,19,0.6572120373573158,0.6375715789473685,0.268055,0.972324
33,kite,31,1.0722933241093047,0.4923934516129032,0.259729,0.965341
34,baseball bat,11,0.38049117952265654,0.5014219999999999,0.272285,0.707391
35,baseball glove,9,0.3113109650639917,0.657347,0.254463,0.852048
36,skateboard,12,0.4150812867519889,0.6499067500000001,0.252038,0.934278
37,surfboard,29,1.0031131096506398,0.5667591034482758,0.272334,0.942242
38,tennis racket,21,0.7263922518159807,0.6899716666666666,0.285988,0.918061
39,bottle,80,2.767208578346593,0.49953440000000005,0.252076,0.870387
40,wine glass,26,0.8993427879626427,0.6763023076923077,0.254831,0.936764
41,cup,86,2.9747492217225875,0.569855465116279,0.250972,0.963151
42,fork,15,0.5188516084399861,0.5239264,0.273847,0.906627
43,knife,20,0.6918021445866482,0.5135676499999999,0.269699,0.885776
44,spoon,10,0.3459010722933241,0.3735744,0.262105,0.857014
45,bowl,49,1.694915254237288,0.5944793673469387,0.282812,0.915012
46,banana,25,0.8647526807333102,0.56303068,0.272502,0.926846
47,apple,10,0.3459010722933241,0.5247835999999999,0.270636,0.822691
48,sandwich,7,0.24213075060532688,0.42499600000000004,0.268693,0.739054
49,orange,29,1.0031131096506398,0.5359282413793104,0.250824,0.884695
50,broccoli,31,1.0722933241093047,0.5147490967741936,0.285937,0.926856
51,carrot,23,0.7955724662746455,0.45483700000000005,0.259727,0.788726
52,hot dog,10,0.3459010722933241,0.7519,0.51016,0.947154
53,pizza,21,0.7263922518159807,0.6660846666666667,0.254312,0.92637
54,donut,19,0.6572120373573158,0.596430052631579,0.304552,0.954454
55,cake,14,0.48426150121065376,0.6282886428571429,0.394088,0.930625
56,chair,162,5.60359737115185,0.5270683086419753,0.250958,0.932831
57,couch,32,1.106883431338637,0.4955438125,0.250012,0.942537
58,potted plant,27,0.9339328951919751,0.5800474814814814,0.27,0.903638
59,bed,19,0.6572120373573158,0.6450725263157895,0.26204,0.917311
60,dining table,62,2.1445866482186093,0.5074989193548387,0.253408,0.878715
61,toilet,17,0.588031822898651,0.7411665294117648,0.420516,0.930439
62,tv,35,1.2106537530266344,0.6614540857142858,0.251372,0.909568
63,laptop,40,1.3836042891732965,0.6950038000000001,0.265217,0.962363
64,mouse,18,0.6226219301279834,0.6761525,0.310904,0.961667
65,remote,17,0.588031822898651,0.5232602352941177,0.250476,0.93614
66,keyboard,23,0.7955724662746455,0.6103866086956522,0.264955,0.938463
67,cell phone,28,0.9685230024213075,0.5763399642857143,0.250099,0.941299
68,microwave,3,0.10377032168799723,0.47055699999999995,0.279009,0.628907
69,oven,9,0.3113109650639917,0.6000375555555555,0.328395,0.878834
70,toaster,1,0.03459010722933241,0.277297,0.277297,0.277297
71,sink,16,0.5534417156693185,0.5587835,0.257252,0.919124
72,refrigerator,11,0.38049117952265654,0.6669702727272727,0.298424,0.95708
73,book,40,1.3836042891732965,0.3688019,0.251355,0.77443
74,clock,17,0.588031822898651,0.6470901176470588,0.260212,0.922053
75,vase,26,0.8993427879626427,0.552073,0.251678,0.945942
76,scissors,0,0.0,,,
77,teddy bear,13,0.44967139398132133,0.6147005384615385,0.266609,0.904321
78,hair drier,0,0.0,,,
79,toothbrush,1,0.03459010722933241,0.540731,0.540731,0.540731
