attack_id,total_images,eligible_targets,successful_attacks,ASR,person_eligible,person_successful,person_ASR,car_eligible,car_successful,car_ASR,mean_confidence_drop,median_confidence_drop,mean_IoU_drop
attack_01,200,187,2,1.06951871657754,92,1,1.0869565217391304,95,1,1.0526315789473684,0.006665987581820102,0.00011938810348510742,0.0030813052291897157
attack_02,250,225,2,0.8888888888888888,113,1,0.8849557522123894,112,1,0.8928571428571428,0.009843126407118655,0.0001399517059326172,0.0015311149637065534
attack_03,300,277,1,0.36101083032490977,134,0,0.0,143,1,0.6993006993006993,0.007127171517282292,0.000130385160446167,-0.0011634423361740584
attack_04,350,314,4,1.2738853503184715,151,1,0.6622516556291391,163,3,1.8404907975460123,0.020941545213422466,0.00020372867584228516,0.001895408027314735
attack_05,400,362,7,1.9337016574585635,178,0,0.0,184,7,3.804347826086957,0.013949540635229836,0.00022107362747192383,0.0014688124725442979
